670,1kmN3633E4467
1704,1kmN3633E4468
3569,1kmN3633E4469
1876,1kmN3633E4470
335,1kmN3633E4471
336,1kmN3634E4466
247,1kmN3616E4483
13,1kmN3617E4481
5252,1kmN3617E4483
3558,1kmN3617E4484
3988,1kmN3618E4478
937,1kmN3618E4479
6986,1kmN3618E4480
2890,1kmN3618E4481
464,1kmN3618E4483
3189,1kmN3618E4484
6975,1kmN3618E4485
5594,1kmN3618E4486
5714,1kmN3619E4477
3078,1kmN3619E4478
3562,1kmN3619E4479
7283,1kmN3619E4480
1277,1kmN3619E4481
281,1kmN3619E4482
58,1kmN3619E4483
10155,1kmN3619E4484
13341,1kmN3619E4485
4479,1kmN3619E4486
312,1kmN3619E4487
4842,1kmN3620E4477
8305,1kmN3620E4478
12706,1kmN3620E4479
3528,1kmN3620E4480
12565,1kmN3620E4481
3529,1kmN3620E4482
8550,1kmN3620E4483
16861,1kmN3620E4484
19195,1kmN3620E4485
4977,1kmN3620E4486
4929,1kmN3621E4477
22639,1kmN3621E4481
4696,1kmN3621E4482
3604,1kmN3621E4483
9710,1kmN3621E4484
1377,1kmN3621E4485
9,1kmN3621E4486
10735,1kmN3622E4477
9371,1kmN3622E4482
7305,1kmN3622E4483
4065,1kmN3622E4484
325,1kmN3622E4485
3366,1kmN3623E4476
6642,1kmN3623E4477
7096,1kmN3623E4478
18766,1kmN3623E4481
12531,1kmN3623E4482
8808,1kmN3623E4483
1189,1kmN3623E4484
19,1kmN3623E4485
4186,1kmN3624E4476
5393,1kmN3624E4477
7603,1kmN3624E4478
9285,1kmN3624E4479
15062,1kmN3624E4480
20808,1kmN3624E4481
3433,1kmN3624E4482
20193,1kmN3624E4483
1616,1kmN3624E4484
4,1kmN3624E4485
2422,1kmN3625E4475
5895,1kmN3625E4476
4615,1kmN3625E4477
4253,1kmN3625E4478
10295,1kmN3625E4479
12904,1kmN3625E4480
10571,1kmN3625E4481
14541,1kmN3625E4482
18070,1kmN3625E4483
5258,1kmN3626E4476
5193,1kmN3626E4477
709,1kmN3626E4479
6299,1kmN3626E4480
4493,1kmN3626E4481
7606,1kmN3626E4482
2052,1kmN3626E4483
3678,1kmN3627E4480
4040,1kmN3627E4482
8072,1kmN3621E4478
4146,1kmN3621E4479
11315,1kmN3621E4480
11377,1kmN3622E4478
12720,1kmN3622E4479
15916,1kmN3622E4480
14224,1kmN3622E4481
6871,1kmN3623E4479
19724,1kmN3623E4480
34,1kmN3624E4470
149,1kmN3625E4468
2532,1kmN3625E4469
127,1kmN3625E4470
2001,1kmN3625E4471
1590,1kmN3625E4472
497,1kmN3626E4467
2197,1kmN3626E4468
3273,1kmN3626E4469
421,1kmN3626E4470
3641,1kmN3626E4471
3461,1kmN3626E4472
444,1kmN3627E4467
3993,1kmN3627E4468
3437,1kmN3627E4469
182,1kmN3627E4470
381,1kmN3627E4471
2413,1kmN3627E4472
58,1kmN3628E4467
1251,1kmN3628E4468
2690,1kmN3628E4469
1015,1kmN3628E4470
47,1kmN3628E4471
2801,1kmN3629E4466
2289,1kmN3629E4467
836,1kmN3629E4468
622,1kmN3629E4469
2220,1kmN3629E4470
1073,1kmN3629E4471
13,1kmN3630E4464
8,1kmN3630E4465
1007,1kmN3630E4466
2324,1kmN3630E4467
6,1kmN3630E4469
374,1kmN3630E4470
41,1kmN3614E4475
2951,1kmN3615E4472
4497,1kmN3615E4473
2675,1kmN3615E4474
2270,1kmN3616E4472
1950,1kmN3616E4473
155,1kmN3617E4472
108,1kmN3617E4473
817,1kmN3618E4471
2556,1kmN3618E4472
437,1kmN3618E4473
168,1kmN3618E4474
466,1kmN3619E4470
1254,1kmN3619E4471
4384,1kmN3619E4472
804,1kmN3619E4473
1197,1kmN3619E4474
1602,1kmN3620E4473
6082,1kmN3620E4474
7,1kmN3609E4482
73,1kmN3609E4483
21,1kmN3609E4484
382,1kmN3609E4485
120,1kmN3609E4486
43,1kmN3610E4483
25,1kmN3610E4484
379,1kmN3610E4485
848,1kmN3610E4486
18,1kmN3611E4486
1499,1kmN3611E4487
817,1kmN3611E4488
38,1kmN3612E4486
1321,1kmN3612E4487
2558,1kmN3612E4488
1255,1kmN3612E4489
53,1kmN3613E4486
406,1kmN3613E4487
1558,1kmN3613E4488
1597,1kmN3613E4489
9,1kmN3614E4487
263,1kmN3614E4488
370,1kmN3614E4489
4796,1kmN3627E4479
2283,1kmN3627E4481
1291,1kmN3627E4483
4535,1kmN3628E4479
2997,1kmN3628E4480
2723,1kmN3628E4481
4767,1kmN3628E4482
1527,1kmN3628E4483
3157,1kmN3629E4479
3095,1kmN3629E4480
3093,1kmN3629E4481
3236,1kmN3629E4482
1829,1kmN3629E4483
1492,1kmN3630E4478
2490,1kmN3630E4479
2005,1kmN3630E4480
1912,1kmN3630E4481
4080,1kmN3630E4482
802,1kmN3630E4483
9,1kmN3630E4484
2756,1kmN3631E4479
1807,1kmN3631E4480
2090,1kmN3631E4481
4625,1kmN3631E4482
4601,1kmN3631E4483
734,1kmN3631E4484
544,1kmN3632E4481
754,1kmN3632E4482
2033,1kmN3632E4483
20,1kmN3632E4484
620,1kmN3633E4483
3516,1kmN3626E4475
1029,1kmN3626E4478
2335,1kmN3627E4475
2906,1kmN3627E4476
4284,1kmN3627E4477
2863,1kmN3627E4478
2015,1kmN3628E4475
365,1kmN3628E4476
894,1kmN3628E4477
4560,1kmN3628E4478
1852,1kmN3629E4475
2766,1kmN3629E4476
3847,1kmN3629E4477
4988,1kmN3629E4478
1334,1kmN3630E4473
1752,1kmN3630E4474
3037,1kmN3630E4475
3600,1kmN3630E4476
3474,1kmN3630E4477
381,1kmN3631E4473
2640,1kmN3631E4474
3091,1kmN3631E4475
3291,1kmN3631E4476
257,1kmN3632E4474
64,1kmN3632E4475
1390,1kmN3632E4476
2461,1kmN3620E4470
3715,1kmN3620E4471
4097,1kmN3620E4472
1076,1kmN3621E4471
2168,1kmN3621E4472
466,1kmN3621E4473
211,1kmN3622E4471
2148,1kmN3622E4472
1319,1kmN3622E4473
3,1kmN3623E4471
352,1kmN3623E4472
2,1kmN3624E4471
1190,1kmN3624E4472
597,1kmN3626E4473
3890,1kmN3626E4474
3580,1kmN3627E4473
2941,1kmN3627E4474
1697,1kmN3628E4472
3701,1kmN3628E4473
2788,1kmN3628E4474
715,1kmN3629E4472
2096,1kmN3629E4473
774,1kmN3629E4474
2690,1kmN3630E4471
2366,1kmN3618E4468
671,1kmN3619E4467
4224,1kmN3619E4468
2905,1kmN3619E4469
1812,1kmN3620E4467
2296,1kmN3620E4468
3457,1kmN3620E4469
87,1kmN3621E4467
3371,1kmN3621E4468
3531,1kmN3621E4469
2684,1kmN3621E4470
96,1kmN3622E4467
2,1kmN3622E4468
90,1kmN3622E4469
251,1kmN3622E4470
12,1kmN3623E4467
247,1kmN3634E4467
153,1kmN3634E4468
1386,1kmN3634E4469
677,1kmN3634E4470
11,1kmN3635E4467
3,1kmN3635E4468
16,1kmN3635E4469
11,1kmN3635E4470
323,1kmN3636E4467
2152,1kmN3636E4468
2621,1kmN3636E4469
1744,1kmN3636E4470
1205,1kmN3636E4471
28,1kmN3636E4472
7,1kmN3637E4466
216,1kmN3637E4467
1699,1kmN3637E4468
1254,1kmN3637E4469
4780,1kmN3637E4470
1367,1kmN3637E4471
389,1kmN3638E4467
489,1kmN3638E4468
138,1kmN3638E4469
300,1kmN3638E4470
81,1kmN3638E4471
53,1kmN3639E4469
32,1kmN3639E4470
23,1kmN3640E4469
26,1kmN3636E4466
13,1kmN3637E4462
48,1kmN3637E4463
77,1kmN3637E4464
50,1kmN3637E4465
3,1kmN3638E4460
42,1kmN3638E4461
21,1kmN3638E4462
229,1kmN3638E4463
32,1kmN3638E4464
123,1kmN3638E4465
123,1kmN3638E4466
8,1kmN3639E4461
518,1kmN3639E4462
1996,1kmN3639E4463
910,1kmN3639E4464
18,1kmN3639E4465
59,1kmN3639E4466
3,1kmN3639E4467
37,1kmN3639E4468
32,1kmN3640E4461
10,1kmN3640E4462
261,1kmN3640E4463
238,1kmN3640E4464
78,1kmN3640E4465
121,1kmN3640E4466
481,1kmN3640E4467
8,1kmN3640E4468
96,1kmN3640E4470
26,1kmN3641E4463
18,1kmN3641E4464
28,1kmN3641E4465
685,1kmN3641E4466
2146,1kmN3641E4467
10,1kmN3641E4468
42,1kmN3641E4469
79,1kmN3641E4470
4,1kmN3641E4471
22,1kmN3642E4464
6,1kmN3642E4465
1164,1kmN3642E4466
2032,1kmN3642E4467
1224,1kmN3642E4468
79,1kmN3642E4469
741,1kmN3642E4470
5,1kmN3642E4471
39,1kmN3643E4464
117,1kmN3643E4465
888,1kmN3643E4466
1626,1kmN3643E4467
2313,1kmN3643E4468
274,1kmN3643E4469
1334,1kmN3643E4470
22,1kmN3643E4471
14,1kmN3644E4465
2,1kmN3644E4466
892,1kmN3644E4467
2080,1kmN3644E4468
25,1kmN3645E4467
182,1kmN3645E4468
121,1kmN3645E4469
5,1kmN3645E4470
6,1kmN3645E4471
55,1kmN3646E4469
101,1kmN3646E4470
19,1kmN3646E4471
59,1kmN3646E4472
43,1kmN3646E4473
9,1kmN3646E4474
24,1kmN3647E4470
9,1kmN3647E4471
41,1kmN3647E4472
37,1kmN3647E4473
10,1kmN3647E4474
43,1kmN3647E4475
2703,1kmN3647E4476
2863,1kmN3647E4477
6,1kmN3648E4469
34,1kmN3648E4470
146,1kmN3648E4471
132,1kmN3648E4472
108,1kmN3648E4473
57,1kmN3648E4474
206,1kmN3648E4475
1713,1kmN3648E4476
1862,1kmN3648E4477
389,1kmN3648E4478
16,1kmN3649E4470
9,1kmN3649E4471
47,1kmN3649E4472
44,1kmN3649E4473
25,1kmN3649E4474
149,1kmN3649E4475
15,1kmN3649E4476
87,1kmN3649E4477
11,1kmN3649E4478
4,1kmN3650E4470
6,1kmN3650E4471
9,1kmN3650E4472
57,1kmN3650E4473
11,1kmN3650E4474
8,1kmN3650E4475
1172,1kmN3650E4476
2689,1kmN3650E4477
347,1kmN3650E4478
67,1kmN3651E4468
75,1kmN3651E4469
51,1kmN3651E4470
35,1kmN3651E4471
155,1kmN3651E4472
15,1kmN3651E4473
